strut_id,defect,subtype,region,orientation,x0,y0,z0,x1,y1,z1,z_slice_from,z_slice_to,length_um,node0_state,node1_state,gap_um,surviving_piece_um,diameter_median_um,diameter_thinnest_um,bow_um,graph_hops,detached_at_joint
4747,missing,dropped,interior,vertical,218.86,288.57,265.86,219.1,329.2,224.7,225,266,3360.0,junction,junction,2107.0,0.0,,,,2,0
4752,missing,dropped,interior,vertical,219.1,329.2,224.7,259.25,328.08,266.0,225,266,3347.0,junction,junction,2156.0,0.0,,,,2,0
4931,missing,dropped,interior,vertical,103.44,366.33,225.78,103.17,407.33,185.08,185,226,3356.0,junction,junction,2105.0,0.0,,,,2,0
5066,missing,dropped,interior,vertical,530.64,365.45,266.73,572.38,365.06,227.0,227,267,3348.0,junction,junction,2156.0,0.0,,,,2,0
5223,missing,dropped,interior,vertical,337.5,445.3,227.0,337.36,485.86,185.93,186,227,3354.0,junction,junction,2103.0,0.0,,,,2,0
5621,missing,dropped,interior,flat,299.64,603.09,186.05,259.07,643.86,186.0,186,186,3341.0,junction,junction,2095.0,0.0,,,,2,0
5804,missing,dropped,boundary,vertical,140.33,753.0,185.0,104.5,752.25,224.25,185,224,3088.0,junction,junction,1675.0,157.0,,,,2,0
5805,missing,dropped,boundary,vertical,70.67,753.33,186.67,104.5,752.25,224.25,187,224,2939.0,junction,junction,1644.0,199.0,,,,2,0
5807,missing,dropped,boundary,vertical,143.0,752.75,263.75,104.5,752.25,224.25,224,264,3205.0,junction,junction,1738.0,109.0,,,,2,0
5823,missing,dropped,boundary,flat,140.33,753.0,185.0,183.42,721.83,186.08,185,186,3090.0,junction,junction,2147.0,52.0,,,,2,0
5832,missing,dropped,boundary,vertical,221.5,751.75,185.75,181.75,752.0,225.25,186,225,3256.0,junction,junction,1766.0,166.0,,,,2,0
5834,missing,dropped,boundary,vertical,143.0,752.75,263.75,181.75,752.0,225.25,225,264,3174.0,junction,junction,1829.0,54.0,,,,2,0
5835,missing,dropped,boundary,vertical,220.75,751.75,264.25,181.75,752.0,225.25,225,264,3204.0,junction,junction,1738.0,163.0,,,,2,0
5860,missing,dropped,boundary,vertical,299.75,751.75,186.0,260.75,752.25,225.25,186,225,3215.0,junction,junction,1853.0,54.0,,,,2,0
5861,missing,dropped,boundary,vertical,221.5,751.75,185.75,260.75,752.25,225.25,186,225,3235.0,junction,junction,1755.0,110.0,,,,2,0
5862,missing,dropped,boundary,vertical,220.75,751.75,264.25,260.75,752.25,225.25,225,264,3246.0,junction,junction,1816.0,110.0,,,,2,0
5863,missing,dropped,boundary,vertical,299.0,751.5,265.0,260.75,752.25,225.25,225,265,3205.0,junction,junction,1847.0,54.0,,,,2,0
5888,missing,dropped,boundary,vertical,378.25,751.25,186.25,339.0,750.75,225.75,186,226,3235.0,junction,junction,1810.0,110.0,,,,2,0
5889,missing,dropped,boundary,vertical,299.75,751.75,186.0,339.0,750.75,225.75,186,226,3246.0,junction,junction,1816.0,110.0,,,,2,0
5890,missing,dropped,boundary,vertical,299.0,751.5,265.0,339.0,750.75,225.75,226,265,3256.0,junction,junction,1821.0,110.0,,,,2,0
5891,missing,dropped,boundary,vertical,376.75,751.0,264.75,339.0,750.75,225.75,226,265,3154.0,junction,junction,1764.0,107.0,,,,2,0
5916,missing,dropped,boundary,vertical,455.75,749.5,187.0,416.75,751.0,225.5,187,226,3185.0,junction,junction,1728.0,108.0,,,,2,0
5917,missing,dropped,boundary,vertical,378.25,751.25,186.25,416.75,751.0,225.5,186,226,3194.0,junction,junction,1787.0,108.0,,,,2,0
5918,missing,dropped,boundary,vertical,376.75,751.0,264.75,416.75,751.0,225.5,226,265,3256.0,junction,junction,1766.0,110.0,,,,2,0
5919,missing,dropped,boundary,vertical,455.75,750.5,265.75,416.75,751.0,225.5,226,266,3256.0,junction,junction,1821.0,110.0,,,,2,0
5944,missing,dropped,boundary,vertical,534.0,749.75,186.75,495.5,750.75,226.0,187,226,3195.0,junction,junction,1841.0,54.0,,,,2,0
5945,missing,dropped,boundary,vertical,455.75,749.5,187.0,495.5,750.75,226.0,187,226,3236.0,junction,junction,1865.0,55.0,,,,2,0
5946,missing,dropped,boundary,vertical,455.75,750.5,265.75,495.5,750.75,226.0,226,266,3266.0,junction,junction,1827.0,111.0,,,,2,0
5947,missing,dropped,boundary,vertical,534.5,750.0,265.75,495.5,750.75,226.0,226,266,3236.0,junction,junction,1810.0,110.0,,,,2,0
5972,missing,dropped,boundary,vertical,611.75,748.0,188.0,572.25,749.25,226.5,188,226,3206.0,junction,junction,1793.0,109.0,,,,2,0
5973,missing,dropped,boundary,vertical,534.0,749.75,186.75,572.25,749.25,226.5,187,226,3205.0,junction,junction,1847.0,109.0,,,,2,0
5974,missing,dropped,boundary,vertical,534.5,750.0,265.75,572.25,749.25,226.5,226,266,3164.0,junction,junction,1716.0,107.0,,,,2,0
5975,missing,dropped,boundary,vertical,611.75,749.25,266.75,572.25,749.25,226.5,226,267,3277.0,junction,junction,1722.0,167.0,,,,2,0
6000,missing,dropped,boundary,vertical,690.0,748.75,187.75,651.25,749.5,227.0,188,227,3205.0,junction,junction,1738.0,163.0,,,,2,0
6001,missing,dropped,boundary,vertical,611.75,748.0,188.0,651.25,749.5,227.0,188,227,3226.0,junction,junction,1859.0,55.0,,,,2,0
6002,missing,dropped,boundary,vertical,611.75,749.25,266.75,651.25,749.5,227.0,227,267,3256.0,junction,junction,1876.0,110.0,,,,2,0
6003,missing,dropped,boundary,vertical,690.0,749.0,265.75,651.25,749.5,227.0,227,266,3184.0,junction,junction,1781.0,108.0,,,,2,0
6033,missing,dropped,boundary,vertical,690.0,748.75,187.75,728.5,748.25,226.75,188,227,3184.0,junction,junction,1781.0,108.0,,,,2,0
6034,missing,dropped,boundary,vertical,690.0,749.0,265.75,728.5,748.25,226.75,227,266,3184.0,junction,junction,1673.0,162.0,,,,2,0
6035,missing,dropped,boundary,vertical,763.67,747.67,267.33,728.5,748.25,226.75,227,267,3120.0,junction,junction,1639.0,212.0,,,,2,0
6166,missing,dropped,interior,vertical,412.82,126.86,308.32,413.56,89.33,343.11,308,343,2973.0,junction,junction,1865.0,0.0,,,,2,0
6234,missing,dropped,interior,vertical,686.17,88.0,305.17,647.45,89.55,346.68,305,347,3299.0,junction,junction,2181.0,0.0,,,,2,0
6259,missing,dropped,boundary,flat,686.17,88.0,305.17,724.33,51.75,307.83,305,308,3062.0,junction,junction,1920.0,0.0,,,,2,0
6670,missing,dropped,interior,flat,607.73,246.09,305.27,648.13,286.41,305.92,305,306,3316.0,junction,junction,2080.0,0.0,,,,2,0
7225,missing,dropped,interior,vertical,298.42,525.08,263.75,298.15,484.62,304.31,264,304,3329.0,junction,junction,2031.0,0.0,,,,2,0
7420,missing,dropped,interior,vertical,220.2,524.0,263.93,220.91,565.27,304.0,264,304,3342.0,junction,junction,2153.0,0.0,,,,2,0
7706,missing,dropped,interior,vertical,416.27,682.18,304.0,416.0,640.9,344.2,304,344,3348.0,junction,junction,2156.0,0.0,,,,2,0
7820,missing,dropped,boundary,vertical,143.0,752.75,263.75,104.25,753.25,303.0,264,303,3205.0,junction,junction,1684.0,163.0,,,,2,0
7822,missing,dropped,boundary,vertical,69.0,754.0,342.0,104.25,753.25,303.0,303,342,3055.0,junction,junction,1709.0,155.0,,,,2,0
7823,missing,dropped,boundary,vertical,142.5,752.75,342.5,104.25,753.25,303.0,303,342,3195.0,junction,junction,1733.0,108.0,,,,2,0
7848,missing,dropped,boundary,vertical,220.75,751.75,264.25,182.25,752.75,302.75,264,303,3164.0,junction,junction,1770.0,107.0,,,,2,0
7849,missing,dropped,boundary,vertical,143.0,752.75,263.75,182.25,752.75,302.75,264,303,3215.0,junction,junction,1798.0,109.0,,,,2,0
7850,missing,dropped,boundary,vertical,142.5,752.75,342.5,182.25,752.75,302.75,303,342,3266.0,junction,junction,1771.0,111.0,,,,2,0
7851,missing,dropped,boundary,vertical,220.5,751.75,342.75,182.25,752.75,302.75,303,343,3216.0,junction,junction,1853.0,55.0,,,,2,0
7876,missing,dropped,boundary,vertical,299.0,751.5,265.0,259.75,751.0,303.75,265,304,3205.0,junction,junction,1738.0,163.0,,,,2,0
7877,missing,dropped,boundary,vertical,220.75,751.75,264.25,259.75,751.0,303.75,264,304,3225.0,junction,junction,1804.0,109.0,,,,2,0
7878,missing,dropped,boundary,vertical,220.5,751.75,342.75,259.75,751.0,303.75,304,343,3215.0,junction,junction,1744.0,109.0,,,,2,0
7879,missing,dropped,boundary,vertical,299.25,752.0,343.5,259.75,751.0,303.75,304,344,3256.0,junction,junction,1821.0,110.0,,,,2,0
7904,missing,dropped,boundary,vertical,376.75,751.0,264.75,338.0,751.75,304.0,265,304,3205.0,junction,junction,1847.0,54.0,,,,2,0
7905,missing,dropped,boundary,vertical,299.0,751.5,265.0,338.0,751.75,304.0,265,304,3204.0,junction,junction,1847.0,54.0,,,,2,0
7906,missing,dropped,boundary,vertical,299.25,752.0,343.5,338.0,751.75,304.0,304,344,3215.0,junction,junction,1798.0,109.0,,,,2,0
7907,missing,dropped,boundary,vertical,377.25,750.75,343.5,338.0,751.75,304.0,304,344,3236.0,junction,junction,1810.0,110.0,,,,2,0
7932,missing,dropped,boundary,vertical,455.75,750.5,265.75,416.25,751.25,304.75,266,305,3225.0,junction,junction,1804.0,109.0,,,,2,0
7933,missing,dropped,boundary,vertical,376.75,751.0,264.75,416.25,751.25,304.75,265,305,3266.0,junction,junction,1716.0,166.0,,,,2,0
7934,missing,dropped,boundary,vertical,377.25,750.75,343.5,416.25,751.25,304.75,305,344,3194.0,junction,junction,1787.0,108.0,,,,2,0
7935,missing,dropped,boundary,vertical,455.5,750.5,343.25,416.25,751.25,304.75,305,343,3195.0,junction,junction,1787.0,108.0,,,,2,0
7960,missing,dropped,boundary,vertical,534.5,750.0,265.75,494.75,750.25,304.75,266,305,3235.0,junction,junction,1700.0,165.0,,,,2,0
7961,missing,dropped,boundary,vertical,455.75,750.5,265.75,494.75,750.25,304.75,266,305,3204.0,junction,junction,1847.0,54.0,,,,2,0
7962,missing,dropped,boundary,vertical,455.5,750.5,343.25,494.75,750.25,304.75,305,343,3194.0,junction,junction,1787.0,108.0,,,,2,0
7963,missing,dropped,boundary,vertical,533.75,750.5,343.75,494.75,750.25,304.75,305,344,3204.0,junction,junction,1847.0,54.0,,,,2,0
7988,missing,dropped,boundary,vertical,611.75,749.25,266.75,573.0,750.5,305.5,267,306,3185.0,junction,junction,1781.0,108.0,,,,2,0
7989,missing,dropped,boundary,vertical,534.5,750.0,265.75,573.0,750.5,305.5,266,306,3215.0,junction,junction,1798.0,109.0,,,,2,0
7990,missing,dropped,boundary,vertical,533.75,750.5,343.75,573.0,750.5,305.5,306,344,3184.0,junction,junction,1781.0,108.0,,,,2,0
7991,missing,dropped,boundary,vertical,611.25,750.0,344.25,573.0,750.5,305.5,306,344,3164.0,junction,junction,1877.0,54.0,,,,2,0
8016,missing,dropped,boundary,vertical,690.0,749.0,265.75,650.75,749.0,306.0,266,306,3266.0,junction,junction,1716.0,166.0,,,,2,0
8017,missing,dropped,boundary,vertical,611.75,749.25,266.75,650.75,749.0,306.0,267,306,3215.0,junction,junction,1798.0,109.0,,,,2,0
8018,missing,dropped,boundary,vertical,611.25,750.0,344.25,650.75,749.0,306.0,306,344,3195.0,junction,junction,1787.0,108.0,,,,2,0
8019,missing,dropped,boundary,vertical,689.5,749.75,344.5,650.75,749.0,306.0,306,344,3174.0,junction,junction,1775.0,108.0,,,,2,0
8048,missing,dropped,boundary,vertical,763.67,747.67,267.33,728.25,748.5,306.0,267,306,3047.0,junction,junction,1704.0,207.0,,,,2,0
8049,missing,dropped,boundary,vertical,690.0,749.0,265.75,728.25,748.5,306.0,266,306,3226.0,junction,junction,1804.0,109.0,,,,2,0
8050,missing,dropped,boundary,vertical,689.5,749.75,344.5,728.25,748.5,306.0,306,344,3175.0,junction,junction,1776.0,108.0,,,,2,0
8051,missing,dropped,boundary,vertical,763.5,749.0,340.0,728.25,748.5,306.0,306,340,2846.0,junction,junction,1785.0,193.0,,,,99,0
8114,missing,dropped,interior,flat,296.5,132.08,343.75,255.5,91.93,343.29,343,344,3334.0,junction,junction,2091.0,0.0,,,,2,0
8136,missing,dropped,boundary,flat,294.8,53.6,342.4,344.42,86.95,335.05,335,342,3500.0,junction,junction,1898.0,178.0,,,,2,0
8164,missing,dropped,boundary,vertical,377.0,55.87,344.0,378.2,85.76,381.38,344,381,2782.0,junction,junction,1980.0,0.0,,,,2,0
8442,missing,dropped,interior,flat,528.17,169.21,382.12,573.92,205.42,379.62,380,382,3393.0,junction,junction,2013.0,58.0,,,,2,0
8764,missing,dropped,interior,vertical,219.89,328.58,382.49,179.73,328.0,342.27,342,382,3302.0,partial,junction,2183.0,0.0,,,,-1,0
8823,missing,dropped,interior,flat,373.8,367.03,342.73,414.9,327.1,344.3,343,344,3331.0,junction,junction,2089.0,0.0,,,,2,0
9273,missing,dropped,interior,vertical,374.51,486.03,382.61,416.11,485.33,343.89,344,383,3302.0,junction,junction,2183.0,0.0,,,,2,0
9303,missing,dropped,interior,vertical,493.18,444.36,384.09,493.45,484.82,343.64,344,384,3324.0,junction,junction,2085.0,0.0,,,,2,0
9329,missing,dropped,interior,vertical,571.09,443.45,383.18,572.0,484.44,423.12,383,423,3325.0,junction,junction,2029.0,0.0,,,,2,0
9597,missing,dropped,boundary,flat,763.98,559.1,382.76,726.86,600.79,384.64,383,385,3245.0,junction,junction,1980.0,55.0,,,,2,0
9778,missing,node_lost,interior,vertical,610.86,678.47,423.15,610.92,640.5,383.0,383,423,3211.0,absent,junction,2503.0,109.0,,,,-1,0
9836,missing,dropped,boundary,vertical,142.5,752.75,342.5,104.0,753.75,381.0,342,381,3164.0,junction,junction,1770.0,107.0,,,,2,0
9837,missing,dropped,boundary,vertical,69.0,754.0,342.0,104.0,753.75,381.0,342,381,3045.0,junction,junction,1703.0,155.0,,,,2,0
9838,missing,dropped,boundary,vertical,69.33,753.0,419.33,104.0,753.75,381.0,381,419,3003.0,junction,junction,1731.0,204.0,,,,2,0
9839,missing,dropped,boundary,vertical,142.75,751.75,421.75,104.0,753.75,381.0,381,422,3269.0,junction,junction,1773.0,111.0,,,,2,0
9864,missing,dropped,boundary,vertical,220.5,751.75,342.75,181.75,752.25,382.0,343,382,3205.0,junction,junction,1738.0,109.0,,,,2,0
9865,missing,dropped,boundary,vertical,142.5,752.75,342.5,181.75,752.25,382.0,342,382,3235.0,junction,junction,1755.0,110.0,,,,2,0
9866,missing,dropped,boundary,vertical,142.75,751.75,421.75,181.75,752.25,382.0,382,422,3236.0,junction,junction,1755.0,110.0,,,,2,0
9867,missing,dropped,boundary,vertical,220.75,752.25,421.75,181.75,752.25,382.0,382,422,3235.0,junction,junction,1810.0,110.0,,,,2,0
9892,missing,dropped,boundary,vertical,299.25,752.0,343.5,259.75,752.5,382.25,344,382,3215.0,junction,junction,1798.0,109.0,,,,2,0
9893,missing,dropped,boundary,vertical,220.5,751.75,342.75,259.75,752.5,382.25,343,382,3236.0,junction,junction,1810.0,110.0,,,,2,0
9894,missing,dropped,boundary,vertical,220.75,752.25,421.75,259.75,752.5,382.25,382,422,3225.0,junction,junction,1804.0,109.0,,,,2,0
9895,missing,dropped,boundary,vertical,299.25,752.5,421.5,259.75,752.5,382.25,382,422,3235.0,junction,junction,1810.0,110.0,,,,2,0
9920,missing,dropped,boundary,vertical,377.25,750.75,343.5,338.0,751.0,382.0,344,382,3194.0,junction,junction,1787.0,108.0,,,,2,0
9921,missing,dropped,boundary,vertical,299.25,752.0,343.5,338.0,751.0,382.0,344,382,3174.0,junction,junction,1829.0,54.0,,,,2,0
9922,missing,dropped,boundary,vertical,299.25,752.5,421.5,338.0,751.0,382.0,382,422,3216.0,junction,junction,1853.0,55.0,,,,2,0
9923,missing,dropped,boundary,vertical,376.75,751.75,421.25,338.0,751.0,382.0,382,421,3205.0,junction,junction,1793.0,109.0,,,,2,0
9948,missing,dropped,boundary,vertical,455.5,750.5,343.25,416.25,751.5,383.0,343,383,3246.0,junction,junction,1761.0,110.0,,,,2,0
9949,missing,dropped,boundary,vertical,377.25,750.75,343.5,416.25,751.5,383.0,344,383,3225.0,junction,junction,1859.0,55.0,,,,2,0
9950,missing,dropped,boundary,vertical,376.75,751.75,421.25,416.25,751.5,383.0,383,421,3195.0,junction,junction,1841.0,54.0,,,,2,0
9951,missing,dropped,boundary,vertical,454.75,751.5,422.25,416.25,751.5,383.0,383,422,3194.0,junction,junction,1895.0,54.0,,,,2,0
9976,missing,dropped,boundary,vertical,533.75,750.5,343.75,494.75,750.75,383.0,344,383,3215.0,junction,junction,1853.0,54.0,,,,2,0
9977,missing,dropped,boundary,vertical,455.5,750.5,343.25,494.75,750.75,383.0,343,383,3246.0,junction,junction,1815.0,110.0,,,,2,0
9978,missing,dropped,boundary,vertical,454.75,751.5,422.25,494.75,750.75,383.0,383,422,3256.0,junction,junction,1876.0,55.0,,,,2,0
9979,missing,dropped,boundary,vertical,534.0,750.0,423.0,494.75,750.75,383.0,383,423,3256.0,junction,junction,1821.0,110.0,,,,2,0
